index,App,SHA,TestFilePath,LOC,NOM,WMC,RFC,NAs,AsD,NumberOfMethods,AssertionRoulette,ConditionalTestLogic,ConstructorInitialization,DefaultTest,EmptyTest,ExceptionCatchingThrowing,GeneralFixture,MysteryGuest,PrintStatement,RedundantAssertion,SensitiveEquality,VerboseTest,SleepyTest,DuplicateAssert,UnknownTest,IgnoredTest,ResourceOptimism,MagicNumberTest,DependentTest,ReplaceTryCatchWithAssertThrows,isReplaceTryCatchWithAssertThrows
10,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/validation/covariance/LowerCovarianceDataFileValidationTest.java,45,2,5,7,0.07,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,False
11,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/validation/tabular/TabularColumnFileValidationTest.java,113,4,13,22,0.08,9,3,3,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,False
12,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/validation/tabular/TabularDataFileValidationTest.java,332,8,36,70,0.07,24,7,7,7,1,0,0,7,0,0,0,0,0,0,0,7,0,0,1,7,0,0,False
13,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetradapp/test/TestDataWrapper.java,58,3,6,26,0.09,5,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,False
14,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetradapp/test/TestDisplayNode.java,6,1,1,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,False
15,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetradapp/test/TestGraphWorkbench.java,14,2,2,4,0.07,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
16,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestCpc.java,75,6,10,23,0.01,1,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,4,0,0,False
17,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestFas.java,18,1,2,5,0.06,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
18,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestFges.java,1132,44,124,318,0.01,13,43,0,12,0,0,0,1,0,0,9,0,0,0,0,0,12,0,0,23,0,0,False
19,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestGrasp.java,2087,65,143,419,0.0,1,65,0,11,0,0,1,1,0,0,10,0,0,0,0,0,24,7,1,24,0,0,False
20,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestPc.java,367,15,34,68,0.01,4,15,0,3,0,0,0,1,0,0,2,0,0,0,0,0,6,0,0,8,0,0,False
21,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestPcd.java,55,5,7,17,0.04,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,False
22,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestPcMb.java,72,2,7,32,0.04,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,False
23,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestFci.java,277,19,44,74,0.01,3,19,0,2,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,14,0,0,False
24,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestRfciBsc.java,127,5,13,63,0.0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,False
25,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/algcomparison/TimeoutComparisonTest.java,57,7,13,9,0.0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
26,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestConditionalGaussianSimulation.java,45,2,3,9,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,False
27,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/annotation/AlgorithmAnnotationsTest.java,12,3,3,0,0.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False
28,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/annotation/ScoreAnnotationsTest.java,12,3,3,0,0.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False
29,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestBayesIm.java,128,6,18,32,0.06,8,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,False
30,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestBayesPm.java,55,5,8,18,0.09,5,5,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,False
31,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestCptInvariantUpdater.java,211,7,9,56,0.22,47,7,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5,0,0,False
32,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestDiscreteProbs.java,44,4,7,8,0.09,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,False
33,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestEvidence.java,59,2,3,13,0.05,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
34,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/bayes/JunctionTreeAlgorithmTest.java,130,10,26,53,0.03,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,False
35,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestModelGenerator.java,24,1,1,6,0.04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
36,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestProposition.java,56,2,3,11,0.04,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
37,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestUpdatedBayesIm.java,46,1,2,8,0.02,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
38,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestExpressionParser.java,260,8,24,35,0.05,13,5,2,4,0,0,0,4,0,3,0,0,0,0,0,1,1,0,0,5,0,0,False
39,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestBoxDataSet.java,151,7,14,63,0.08,12,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,False
40,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestCellTable.java,86,4,13,17,0.03,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False
41,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestCovarianceMatrix.java,38,1,2,10,0.16,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,False
42,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestDelimiterType.java,12,1,1,3,0.33,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False
43,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestDiscretizer.java,112,6,12,42,0.29,32,6,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,False
44,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestHistogram.java,39,1,2,16,0.13,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,False
45,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/algcomparison/TestKnowledge.java,38,2,3,15,0.03,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,False
46,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/LoadContinuousDataAndSingleGraph.java,86,9,24,21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
47,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/LoadContinuousDataSmithSim.java,114,10,30,34,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
48,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestDag.java,45,4,4,15,0.24,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,False
49,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestEdgeListGraph.java,88,5,6,38,0.13,11,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,False
50,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestGraph.java,167,8,14,63,0.12,20,8,2,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,0,0,False
51,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestGraphUtils.java,176,9,20,58,0.19,34,9,4,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,8,0,0,False
52,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestIndependenceFact.java,19,1,1,5,0.16,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
53,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestSemGraph.java,40,3,6,5,0.03,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
54,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestTimeLagGraph.java,25,1,1,8,0.52,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
55,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestRegression.java,53,3,7,23,0.0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,False
56,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestCpc.java,75,6,10,23,0.01,1,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,4,0,0,False
57,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestFas.java,18,1,2,5,0.06,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
58,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestFci.java,277,19,44,74,0.01,3,19,0,2,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,14,0,0,False
59,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestFges.java,1132,44,124,318,0.01,13,43,0,12,0,0,0,1,0,0,9,0,0,0,0,0,12,0,0,23,0,0,False
60,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestGFci.java,155,6,12,69,0.02,3,6,0,3,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,6,0,0,False
61,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestGrasp.java,2087,65,143,419,0.0,1,65,0,11,0,0,1,1,0,0,10,0,0,0,0,0,24,7,1,24,0,0,False
62,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestMimbuild.java,90,5,18,24,0.02,2,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False
63,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestPc.java,367,15,34,68,0.01,4,15,0,3,0,0,0,1,0,0,2,0,0,0,0,0,6,0,0,8,0,0,False
64,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestPcd.java,55,5,7,17,0.04,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,False
65,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestPcMb.java,72,2,7,32,0.04,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,False
66,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestDagScorer.java,32,1,2,14,0.13,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
67,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestKernelGaussian.java,20,1,1,4,0.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
68,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestPurify.java,207,3,7,40,0.03,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,False
69,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestDagScorer.java,32,1,2,14,0.13,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
70,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestRicf.java,202,9,18,39,0.01,2,9,1,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,6,0,0,False
71,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestSemEstimator.java,116,10,16,29,0.0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,False
72,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestSemEvidence.java,34,2,3,6,0.03,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
73,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestSemIm.java,269,12,22,90,0.03,8,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,False
74,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestSemProposition.java,41,2,4,12,0.07,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
75,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestSemUpdater.java,38,2,3,11,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,False
76,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestSession.java,179,16,25,40,0.07,13,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False
77,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestSessionEvent.java,78,7,7,30,0.21,16,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,False
78,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestSessionNode.java,421,27,51,94,0.15,63,17,12,1,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,14,0,0,False
79,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestSessionSupport.java,229,21,28,94,0.28,65,9,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,False
80,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestCovarianceMatrix.java,38,1,2,10,0.16,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,False
81,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestMatrix.java,14,1,1,5,0.14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,False
82,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestChoiceGenerator.java,62,5,11,10,0.06,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,False
83,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestCombinationGenerator.java,26,3,6,6,0.12,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,False
84,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestCombinationIterator.java,23,1,3,5,0.13,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
85,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestIntegrator.java,18,4,7,3,0.06,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
86,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestMathUtils.java,16,2,2,4,0.31,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,False
87,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestMatrix.java,14,1,1,5,0.14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,False
88,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestMatrixUtils.java,79,9,10,31,0.2,16,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,False
89,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestMultiDimIntTable.java,38,7,7,20,0.16,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,False
90,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestParamDescriptions.java,19,2,4,7,0.05,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,False
91,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestPartialCorrelationPdf.java,13,2,2,3,0.08,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
92,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestPoint.java,15,1,1,3,0.2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
93,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestStatUtils.java,495,15,49,109,0.05,23,15,0,11,0,0,0,4,0,0,3,1,0,0,0,1,2,0,0,14,0,0,False
94,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestRfciBsc.java,127,5,13,63,0.0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,False
95,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/pitt/dbmi/data/reader/DataColumnsTest.java,28,2,3,4,0.07,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,False
96,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/pitt/dbmi/data/reader/covariance/LowerCovarianceDataFileReaderTest.java,39,2,4,8,0.1,4,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,False
97,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/pitt/dbmi/data/reader/metadata/MetadataFileReaderTest.java,25,2,3,5,0.08,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,False
98,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/pitt/dbmi/data/reader/metadata/MetadataFileWriterTest.java,24,2,3,4,0.04,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
99,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/pitt/dbmi/data/reader/preview/BasicDataPreviewerTest.java,23,2,3,7,0.04,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
100,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/pitt/dbmi/data/reader/tabular/ContinuousTabularDatasetFileReaderTest.java,150,6,14,54,0.13,20,5,5,3,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,False
101,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/pitt/dbmi/data/reader/tabular/MixedTabularDatasetFileReaderTest.java,222,8,20,73,0.14,30,7,7,7,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,7,0,0,False
102,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/pitt/dbmi/data/reader/tabular/TabularColumnFileReaderTest.java,80,5,12,13,0.08,6,4,3,3,1,0,1,4,0,0,0,0,0,0,0,3,1,0,0,4,0,0,False
103,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/pitt/dbmi/data/reader/tabular/TabularDataFileReaderTest.java,541,15,45,150,0.13,69,14,13,12,1,0,0,14,0,0,0,0,0,0,0,13,0,0,0,14,0,0,False
104,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/pitt/dbmi/data/reader/tabular/VerticalDiscreteTabularDatasetFileReaderTest.java,150,6,14,54,0.13,20,5,5,3,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,False
105,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/pitt/dbmi/data/reader/validation/covariance/LowerCovarianceDataFileValidationTest.java,45,2,5,7,0.07,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,False
