App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isExtractClass
slackapi/java-slack-sdk,9a4a24a74c0bfe808ea0bc2e15689f791503e204,"v0.99.4, v0.99.5",bolt.src.test.java.test_locally.middleware.IgnoringSelfEventsTest.java,4,1,0,0,0,0,3,0,0,0,0,0,0,0,2.0,2.0,0,0,0,0,4,0,69,6,13,38,5,0.07,24,24,24,1,1,0,100.0,26,26,26,2,2,2,False
slackapi/java-slack-sdk,9a4a24a74c0bfe808ea0bc2e15689f791503e204,"v0.99.4, v0.99.5",bolt-aws-lambda.src.test.java.test_locally.SlackApiLambdaHandlerTest.java,6,2,0,0,0,0,4,0,6,0,0,0,0,0,0.0,6.0,0,0,0,0,6,0,159,12,28,112,8,0.05,291,233,146,2,1,0,100.0,293,233,146,2,2,1,False
slackapi/java-slack-sdk,990daebac37bd12318f37d02def4926601822cc8,"v1.0.0-RC3, v1.0.0-RC4",bolt.src.test.java.test_locally.util.SlackRequestParserTest.java,13,7,0,0,0,0,8,0,0,0,0,0,0,0,0.0,13.0,0,0,0,0,13,0,114,13,21,118,20,0.18,0,0,0,1,1,0,100.0,5,5,5,5,5,5,False
slackapi/java-slack-sdk,990daebac37bd12318f37d02def4926601822cc8,"v1.0.0-RC3, v1.0.0-RC4",bolt.src.test.java.test_locally.app.MiddlewareTest.java,6,1,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0,49,6,12,36,2,0.04,0,0,0,1,1,0,100.0,10,10,10,10,10,10,False
slackapi/java-slack-sdk,9efe217ca23133998af715e3c4ba8565c7a0347c,"v1.0.7, v1.0.8",slack-api-client.src.test.java.test_locally.api.MethodsTest.java,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,30,1,5,12,0,0.0,2,2,1,2,1,0,100.0,8,6,4,6,4,3,False
slackapi/java-slack-sdk,cccdaa6042d446b53f6f613781ba82f26ea766a8,"v1.0.8, v1.0.9",slack-api-client.src.test.java.test_locally.api.rtm.RTMEventsDispatcherImplTest.java,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,9.0,0,2,0,0,6,0,47,9,9,23,3,0.06,17,17,17,1,1,0,100.0,18,18,18,1,1,1,False
slackapi/java-slack-sdk,f5f09fb5907ee3e32d8e77d28be0fafc67075166,"v1.1.1, v1.1.2",slack-api-client.src.test.java.test_locally.api.MethodsTest.java,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,37,1,5,13,0,0.0,14,14,14,1,1,0,100.0,17,17,17,3,3,3,False
slackapi/java-slack-sdk,55c363a10e6f50aed2790bf73bc5042238deead7,"v1.1.3, v1.1.4",slack-app-backend.src.test.java.test_locally.app_backend.slash_commands.SlashCommandPayloadTest.java,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,28.0,0,0,0,0,3,0,43,3,3,37,29,0.67,40,40,40,1,1,0,100.0,45,45,45,5,5,5,False
slackapi/java-slack-sdk,654fc61ca32c2ae20b662871903f588be0a37087,"v1.3.0-RC3, v1.3.0",bolt-http4k.src.test.java.test_locally.Http4kSlackAppTest.java,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,7.0,1,0,0,0,5,0,72,10,18,76,9,0.13,70,70,70,1,1,0,100.0,82,82,82,12,12,12,False
slackapi/java-slack-sdk,c89656614b1360db2f69e22852376b250fe049e9,"v1.4.0, v1.4.1",slack-api-client.src.test.java.test_locally.api.methods.metrics.RedisMetricsDatastoreTest.java,6,2,2,0,0,0,2,4,0,0,0,0,0,0,4.0,2.0,0,2,0,0,4,0,71,6,14,42,9,0.13,4,4,4,1,1,0,100.0,5,5,5,1,1,1,False
slackapi/java-slack-sdk,e60d84d38ad6c92090dbbb762124dca8112f65cf,"v1.4.2, v1.5.0-M2",bolt-socket-mode.src.test.java.test_locally.SocketModeAppTest.java,4,2,0,0,0,0,2,0,0,0,0,0,0,2,2.0,4.0,0,0,0,0,2,0,51,4,9,26,4,0.08,109,92,54,2,1,0,100.0,120,92,60,11,11,6,False
slackapi/java-slack-sdk,275c0675ad646d2f6e3f662b2a443bf95e889fa5,"v1.5.3, v1.6.0",slack-api-client.src.test.java.test_with_remote_apis.methods.rate_limiter.RateLimiterTest.java,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,3,0,0,0,107,5,19,70,10,0.09,0,0,0,1,1,0,100.0,8,8,8,8,8,8,False
slackapi/java-slack-sdk,275c0675ad646d2f6e3f662b2a443bf95e889fa5,"v1.5.3, v1.6.0",slack-api-client.src.test.java.test_locally.api.methods.metrics.RedisMetricsDatastoreTest.java,6,2,2,0,0,0,2,4,0,0,0,0,0,0,1.0,0.0,0,2,0,0,4,0,71,6,14,42,9,0.13,0,0,0,1,1,0,100.0,4,4,4,4,4,4,False
slackapi/java-slack-sdk,275c0675ad646d2f6e3f662b2a443bf95e889fa5,"v1.5.3, v1.6.0",slack-api-client.src.test.java.test_locally.api.methods.metrics.MemoryMetricsDatastoreTest.java,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,1,0,0,6,0,34,6,6,15,5,0.15,0,0,0,1,1,0,100.0,5,5,5,5,5,5,False
slackapi/java-slack-sdk,275c0675ad646d2f6e3f662b2a443bf95e889fa5,"v1.5.3, v1.6.0",slack-api-client.src.test.java.test_locally.SlackTest.java,12,9,0,0,0,0,7,0,0,0,0,0,0,0,12.0,19.0,3,0,0,0,12,0,115,12,19,70,22,0.19,24,24,24,1,1,0,100.0,27,27,27,3,3,3,False
slackapi/java-slack-sdk,b1fc5280f151a98f42f531e8967720895e687edb,"v1.11.0, v1.12.0",bolt.src.test.java.test_locally.service.DefaultOAuthCallbackServiceTest.java,19,11,0,0,0,0,6,0,0,0,0,0,0,0,0.0,11.0,0,0,0,0,11,0,256,19,44,227,36,0.14,34,34,34,1,1,0,100.0,45,45,45,11,11,11,False
slackapi/java-slack-sdk,3d0e4de254b062421646a9d2c06ea9cab40cdec9,"v1.23.1, v1.24.0",slack-api-model.src.test.java.test_locally.api.model.block.BlocksTest.java,9,3,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2,0,0,0,9,0,46,9,9,40,12,0.26,-398,-398,-398,1,1,0,100.0,7,7,7,405,405,405,False
slackapi/java-slack-sdk,9f929703faaafcc5262cb078c15948eea5516dfd,"v1.24.0, v1.25.0",slack-app-backend.src.test.java.test_locally.app_backend.interactive_components.payload.BlockActionPayloadTest.java,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0,42,4,4,41,19,0.45,90,90,90,1,1,0,100.0,93,93,93,3,3,3,False
